Geo_FIPS,Geo_NAME,Geo_QName,pop_18_in_poverty
17071,Henderson County,"Henderson County, Illinois",130
17073,Henry County,"Henry County, Illinois",1895
17075,Iroquois County,"Iroquois County, Illinois",939
17077,Jackson County,"Jackson County, Illinois",3034
17079,Jasper County,"Jasper County, Illinois",339
17081,Jefferson County,"Jefferson County, Illinois",2477
17083,Jersey County,"Jersey County, Illinois",608
17085,Jo Daviess County,"Jo Daviess County, Illinois",445
17087,Johnson County,"Johnson County, Illinois",290
17089,Kane County,"Kane County, Illinois",19619
17091,Kankakee County,"Kankakee County, Illinois",5089
17093,Kendall County,"Kendall County, Illinois",1812
17095,Knox County,"Knox County, Illinois",2474
17097,Lake County,"Lake County, Illinois",18133
17099,LaSalle County,"LaSalle County, Illinois",5003
17101,Lawrence County,"Lawrence County, Illinois",691
17103,Lee County,"Lee County, Illinois",1071
17105,Livingston County,"Livingston County, Illinois",1677
17107,Logan County,"Logan County, Illinois",702
17109,McDonough County,"McDonough County, Illinois",818
17111,McHenry County,"McHenry County, Illinois",7526
17113,McLean County,"McLean County, Illinois",4119
17115,Macon County,"Macon County, Illinois",5909
17117,Macoupin County,"Macoupin County, Illinois",2039
17119,Madison County,"Madison County, Illinois",10184
17121,Marion County,"Marion County, Illinois",2362
17123,Marshall County,"Marshall County, Illinois",373
17125,Mason County,"Mason County, Illinois",639
17127,Massac County,"Massac County, Illinois",636
17129,Menard County,"Menard County, Illinois",482
17131,Mercer County,"Mercer County, Illinois",518
17133,Monroe County,"Monroe County, Illinois",262
17135,Montgomery County,"Montgomery County, Illinois",1626
17137,Morgan County,"Morgan County, Illinois",1386
17139,Moultrie County,"Moultrie County, Illinois",337
17141,Ogle County,"Ogle County, Illinois",1624
17143,Peoria County,"Peoria County, Illinois",8683
17145,Perry County,"Perry County, Illinois",947
17147,Piatt County,"Piatt County, Illinois",191
17149,Pike County,"Pike County, Illinois",576
17151,Pope County,"Pope County, Illinois",108
